drivers/ufs/ti-j721e-ufs.c:ti,j721e-ufs
drivers/pinctrl/uniphier/pinctrl-uniphier-ld20.c:socionext,uniphier-ld20-pinctrl
drivers/pinctrl/mscc/pinctrl-luton.c:mscc,luton-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-ld4.c:socionext,uniphier-ld4-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-sld8.c:socionext,uniphier-sld8-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-ld6b.c:socionext,uniphier-ld6b-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-ld11.c:socionext,uniphier-ld11-pinctrl
drivers/pinctrl/mscc/pinctrl-jr2.c:mscc,jaguar2-pinctrl
drivers/pinctrl/exynos/pinctrl-exynos850.c:samsung,exynos850-pinctrl
drivers/pinctrl/mscc/pinctrl-servalt.c:mscc,servalt-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-pxs3.c:socionext,uniphier-pxs3-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-pro4.c:socionext,uniphier-pro4-pinctrl
drivers/pinctrl/pinctrl_pic32.c:microchip,pic32mzda-pinctrl
drivers/pinctrl/exynos/pinctrl-exynos78x0.c:samsung,exynos78x0-pinctrl
